	KMV_361	KMV_362	KMV_364	KMV_365	KMV_366	KMV_367	KMV_370	KMV_372	KMV_373	KMV_374	KMV_375	KMV_377	KMV_378	KMV_380	KMV_381	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_389	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_400	KMV_401	KMV_402	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_411	KMV_413	KMV_415	KMV_416	KMV_417	KMV_418	KMV_419	KMV_421	KMV_423	KMV_424	KMV_425	KMV_427	KMV_428	KMV_429	KMV_433	KMV_435	KMV_436	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_445	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_454	KMV_456	KMV_457	KMV_459	KMV_460
Otu000040	4	53	17	30	5	21	0	19	7	1	29	5	10	11	27	31	0	3	9	33	8	6	16	6	7	37	5	3	12	18	10	42	18	21	39	9	8	92	3	97	5	30	13	1	12	47	5	14	9	6	8	53	7	43	5	1	4	6	6	47	25	10	17	18	12	23	23	28	1	12
Otu000044	2	0	1	70	0	0	0	0	6	0	4	11	0	2	0	0	0	0	0	0	13	50	0	0	34	0	1	0	0	93	0	8	0	0	0	0	0	0	4	0	0	0	0	9	6	306	0	0	0	0	11	0	0	305	3	68	0	12	0	0	0	0	220	0	0	0	0	0	3	0
Otu000532	0	0	3	8	2	53	0	441	0	4	0	5	40	0	0	0	0	0	0	7	7	3	0	0	0	0	0	0	0	0	0	4	101	0	0	0	0	0	0	0	122	1	0	3	71	70	69	0	0	0	0	0	0	17	0	5	0	21	0	0	59	0	0	0	0	0	0	0	1	48
Otu001366	0	0	0	32	3	26	19	5	52	0	3	6	3	6	12	0	0	24	94	21	9	10	0	63	0	18	219	0	7	1	1	39	28	7	9	5	27	3	2	0	7	9	24	15	4	0	9	1	5	30	3	6	1	3	16	26	3	6	58	0	6	2	6	104	13	1	5	4	10	8
Otu000160	0	1	0	0	12	0	2	14	0	0	8	0	4	3	0	0	2	0	0	34	0	0	11	0	0	0	0	0	0	3	1	6	20	0	803	0	0	68	11	0	1	12	0	0	2	14	0	0	3	3	0	0	0	22	2	1	0	1	3	0	0	2	22	0	1	2	5	3	0	9
Otu000056	3	15	10	19	44	15	4	25	16	0	13	4	25	10	19	17	1	0	1	82	18	7	59	0	6	43	0	8	5	12	6	0	17	5	5	9	23	25	6	10	6	47	0	11	19	25	2	6	7	10	9	9	15	59	3	5	0	29	14	31	13	3	48	46	1	29	34	10	0	25
Otu000019	0	0	0	34	0	0	0	0	0	134	0	0	0	0	0	0	0	14	0	13	4	0	0	0	0	0	8	348	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	7	4	0	5	0	0	0	0	169	27	0	0	14	0	0	0	19	146
Otu001344	1	0	0	1	2	218	0	5	0	0	6	0	0	0	0	0	0	21	0	4	6	2	0	5	0	33	2	0	2	0	1	2	0	1	3	0	0	0	4	0	0	0	2	0	0	1	0	0	0	0	29	0	0	0	3	0	0	0	2	0	1	0	0	2	1	385	0	0	1	205
Otu000032	0	0	12	46	0	0	3	0	23	29	0	0	0	0	0	0	0	0	0	11	0	9	0	0	15	16	0	0	0	2	0	3	54	0	46	0	6	2	0	0	0	23	0	39	0	5	31	0	0	6	0	0	8	37	0	0	26	0	91	0	95	103	23	0	98	5	12	4	0	49
Otu000800	4	0	2	18	4	8	44	0	125	1	7	11	28	0	0	0	0	18	2	11	13	1	5	51	12	12	47	205	1	3	0	15	16	30	2	17	40	3	3	17	5	0	0	2	1	3	2	7	0	17	2	0	0	0	3	11	0	3	2	0	13	12	3	0	5	33	0	2	11	6
Otu000029	4	0	5	22	6	2	5	8	4	0	8	4	0	3	1	14	0	3	0	10	2	17	14	0	7	7	0	0	1	46	0	1	19	0	13	3	5	2	17	0	2	17	0	65	2	82	13	2	12	15	26	0	36	92	1	17	9	0	12	0	67	14	8	1	5	4	42	62	1	41
Otu000070	0	0	0	0	0	18	0	0	0	0	2	0	0	0	0	298	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	5	33	0	0	30	0	0	0	0	0	17	0	27	0	0	0	0	6	0	137	0	0
Otu000083	4	26	11	11	13	13	5	2	18	7	62	6	5	6	17	40	0	2	0	33	1	18	28	0	8	42	0	10	7	13	1	5	11	0	12	8	5	6	22	5	1	22	8	7	7	14	4	1	9	3	4	31	10	28	0	2	3	9	4	29	19	0	63	48	0	8	21	16	0	5
Otu000734	2	17	14	4	0	24	0	28	0	0	24	2	2	9	8	8	0	5	14	101	3	10	7	0	4	1	3	19	3	4	5	6	8	1	4	4	0	11	49	4	0	3	12	16	5	20	6	0	1	138	0	55	0	20	8	13	4	4	22	18	20	0	22	13	7	29	1	2	1	8
Otu000021	0	37	0	2	0	12	0	0	0	0	0	1	1	0	12	2	0	0	9	50	0	8	1	0	4	4	0	0	0	0	0	26	2	3	0	2	0	0	0	44	17	1	0	2	0	7	42	4	0	2	1	3	2	26	0	0	12	0	1	0	8	40	0	373	1	0	12	2	0	44
Otu000041	0	63	0	13	24	53	0	0	11	0	9	2	0	0	85	1	0	5	3	25	14	27	14	0	1	6	2	0	6	1	0	1	4	20	1	3	0	0	1	114	5	3	8	2	4	45	0	0	1	6	0	71	2	14	2	0	0	2	1	3	15	0	23	47	0	31	6	1	0	5
Otu000058	4	6	1	2	0	43	4	1	18	0	8	5	0	1	10	1	1	0	63	7	9	9	3	44	10	3	47	9	5	0	0	21	22	55	0	7	3	2	0	216	1	2	3	0	0	9	5	0	0	1	4	0	1	0	0	3	3	27	4	0	4	22	35	6	6	1	0	0	0	9
Otu000064	0	0	19	91	0	0	9	0	0	0	5	2	0	0	0	0	0	8	0	79	1	0	0	0	25	0	0	0	0	0	0	1	48	0	0	0	31	0	0	0	0	0	0	0	9	0	0	0	0	0	9	0	0	0	16	138	0	0	0	0	105	0	139	0	0	0	0	0	2	0
Otu000441	0	83	0	2	2	0	23	2	0	10	8	0	0	2	2	25	0	0	0	79	0	2	0	0	11	0	0	0	0	0	1	0	4	0	0	0	0	15	35	0	0	26	2	3	2	0	19	6	9	6	1	0	0	231	0	19	1	0	0	0	6	21	0	17	1	16	44	0	0	0
Otu000045	0	0	15	143	0	0	0	0	1	0	0	0	0	14	0	0	0	10	0	35	2	4	0	0	0	5	6	0	1	0	7	15	18	0	17	0	55	0	4	0	0	6	0	3	0	54	3	2	0	10	1	0	6	53	6	0	0	0	0	0	142	0	47	0	0	0	0	1	11	0
Otu001531	3	0	2	8	0	4	18	5	13	3	8	0	10	9	0	1	0	5	0	2	13	3	164	15	1	14	4	5	9	0	25	9	10	4	0	3	78	3	5	6	0	9	0	6	5	22	8	0	2	6	4	2	3	5	9	4	2	11	55	2	10	28	6	6	0	20	2	0	2	2
